timestamp,x,y,z
12.67,0.11582,0.71958,0.0
12.76,0.09333,0.71975,0.0
12.86,0.07291,0.71927,0.0
12.97,0.05357,0.71945,0.0
13.06,0.04605,0.71903,0.0
13.16,0.0317,0.71954,0.0
13.26,0.02433,0.71965,0.0
13.37,0.02113,0.72011,0.0
13.47,0.0195,0.72031,0.0
13.56,0.01968,0.72033,0.0
13.67,0.02086,0.72014,0.0
13.77,0.02139,0.72015,0.0
13.87,0.02307,0.72197,0.0
13.97,0.02348,0.72101,0.0
14.07,0.02174,0.72136,0.0
14.17,0.0208,0.72184,0.0
14.27,0.02159,0.7216,0.0
14.36,0.0229,0.72149,0.0
14.47,0.02233,0.72126,0.0
14.57,0.02168,0.72132,0.0
14.67,0.02154,0.72074,0.0
14.76,0.02213,0.72007,0.0
14.86,0.02263,0.72074,0.0
14.96,0.02143,0.72053,0.0
15.07,0.02007,0.72018,0.0
15.16,0.0195,0.72032,0.0
15.27,0.02021,0.72017,0.0
15.37,0.01999,0.71917,0.0
15.47,0.01964,0.71848,0.0
15.57,0.01831,0.71831,0.0
15.67,0.01772,0.71787,0.0
15.77,0.0188,0.71829,0.0
15.86,0.02054,0.71752,0.0
15.96,0.02359,0.71836,0.0
16.06,0.02416,0.72059,0.0
16.16,0.02455,0.72372,0.0
16.26,0.02505,0.72545,0.0
16.36,0.02675,0.72453,0.0
16.47,0.04036,0.69954,0.0
16.56,0.04445,0.65989,0.0
16.67,0.04668,0.634,0.0
16.77,0.04863,0.60707,0.0
16.86,0.05062,0.57043,0.0
16.96,0.05112,0.54388,0.0
17.07,0.05264,0.50905,0.0
17.17,0.05366,0.47289,0.0
17.27,0.05451,0.44247,0.0
17.36,0.05531,0.40219,0.0
17.47,0.05535,0.36772,0.0
17.56,0.05557,0.33254,0.0
17.67,0.05492,0.29076,0.0
17.77,0.05351,0.25743,0.0
17.86,0.05189,0.21631,0.0
17.97,0.04972,0.17723,0.0
18.07,0.04594,0.14222,0.0
18.17,0.04071,0.10562,0.0
18.26,0.04053,0.08618,0.0
18.37,0.03627,0.06118,0.0
18.47,0.03307,0.04314,0.0
18.56,0.03422,0.03589,0.0
18.67,0.03425,0.02865,0.0
18.76,0.03374,0.02202,0.0
18.86,0.03405,0.01628,0.0
18.97,0.03481,0.01233,0.0
19.06,0.03243,0.01302,0.0
19.16,0.03385,0.01345,0.0
19.27,0.03397,0.01396,0.0
19.36,0.03303,0.01354,0.0
19.47,0.03278,0.01208,0.0
19.56,0.03365,0.01139,0.0
19.66,0.03358,0.0114,0.0
19.77,0.03331,0.01197,0.0
19.86,0.03314,0.01143,0.0
19.96,0.03331,0.01074,0.0
20.08,0.03348,0.01046,0.0
20.19,0.03319,0.01043,0.0
20.29,0.03266,0.01083,0.0
20.39,0.03269,0.01026,0.0
20.48,0.03284,0.00977,0.0
20.59,0.03322,0.00876,0.0
20.69,0.03317,0.0094,0.0
20.78,0.03261,0.01023,0.0
20.89,0.03325,0.00935,0.0
20.98,0.0338,0.00839,0.0
21.09,0.03582,0.00749,0.0
21.18,0.03734,0.00902,0.0
21.28,0.0365,0.00921,0.0
21.39,0.03584,0.00889,0.0
21.49,0.03558,0.00856,0.0
