timestamp,speed,angle,esc_timestamp,state
3.04,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.08,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.14,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.18,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.24,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.28,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.38,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.48,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.54,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.58,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.64,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.68,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.74,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.78,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.84,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.88,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.94,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
3.98,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.04,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.08,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.14,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.18,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.24,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.28,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.4,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.5,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.54,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.6,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.64,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.7,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.74,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.8,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.84,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.9,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
4.94,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.0,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.04,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.1,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.14,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.2,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.24,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.3,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.4,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.5,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.54,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.6,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.64,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.7,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.74,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.8,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.84,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.9,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
5.95,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.0,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.04,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.1,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.14,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.2,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.24,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.3,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.4,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.5,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.54,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.6,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.64,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.7,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.74,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.8,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.84,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.9,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
6.94,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.0,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.04,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.1,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.14,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.2,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.24,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.3,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
7.4,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
